name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2021-06-28,27.2,15.1,21.5,26.6,15.1,21.4,4.4,34.5,0,0,0,,0,0,27.7,22.7,290.8,1013.7,21,18.1,301.6,26,7,,2021-06-28T06:47:04,2021-06-28T21:49:04,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-06-29,29.3,16.5,22.9,27.7,16.5,22.5,6.3,36.4,0,0,0,,0,0,25.6,9.8,288.9,1014.4,2.2,18.4,296.4,25.8,7,,2021-06-29T06:47:30,2021-06-29T21:49:01,0.64,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-06-30,32.5,17.5,24.9,30.2,17.5,24.2,7.1,36.5,0,0,0,,0,0,38.9,22.4,239.5,1013,1.5,17.9,294.5,25.6,7,,2021-06-30T06:47:57,2021-06-30T21:48:56,0.69,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-01,33.3,17.1,25.8,30.9,17.1,25,5.7,31.5,0,0,0,,0,0,34.2,24.1,239.6,1013.5,17.4,18.5,294,25.3,7,,2021-07-01T06:48:26,2021-07-01T21:48:49,0.74,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08213099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-02,33.6,18.5,26.5,31.2,18.5,25.4,4.1,26.1,0,0,0,,0,0,30.2,25.5,237,1013.6,2.6,18.3,294.2,25.4,7,,2021-07-02T06:48:56,2021-07-02T21:48:41,0.78,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-03,32,19,25.9,30.3,19,25.4,9.1,35.8,0,0,0,,0,0,36,29.3,238,1013.1,44.5,17.5,276.2,23.6,6,,2021-07-03T06:49:28,2021-07-03T21:48:30,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08213099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-04,31.5,18.7,25.5,29.6,18.7,24.9,9.7,40,0,0,0,,0,0,38.5,21.9,245.2,1013,44,18.3,286.9,24.8,7,,2021-07-04T06:50:01,2021-07-04T21:48:17,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-05,33.1,19.1,26.5,31.2,19.1,25.8,11.4,42.3,0,0,0,,0,0,46.1,31.7,233.9,1011.5,0.6,18.4,290.1,25.1,6,,2021-07-05T06:50:36,2021-07-05T21:48:02,0.91,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-06,26,18.5,20.6,26,18.5,20.6,12.4,60.4,1.131,100,37.5,rain,0,0,24.8,18.3,244.8,1012.1,49.8,18.2,79.1,6.8,2,,2021-07-06T06:51:12,2021-07-06T21:47:46,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-07,26.5,11.9,19.8,26.5,11.9,19.8,7.6,50,0.001,100,4.17,rain,0,0,25.2,20.8,285.6,1015.3,16.4,18.4,270.9,23.3,7,,2021-07-07T06:51:49,2021-07-07T21:47:27,0.97,Rain,Clear conditions throughout the day with morning rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-08,29.1,15.1,21.9,27.6,15.1,21.6,6.1,38.8,0,0,0,,0,0,25.9,13,31.5,1019.5,3.5,18.2,293.1,25.4,7,,2021-07-08T06:52:27,2021-07-08T21:47:06,0.99,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-09,32.5,17.7,25.1,30.7,17.7,24.6,9.7,39.5,0,0,0,,0,0,25.9,10.6,94.6,1017.4,4.4,17.7,284.6,24.8,7,,2021-07-09T06:53:07,2021-07-09T21:46:43,1,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-10,36.4,21.1,28.2,34.3,21.1,27.5,10.8,36.6,0,0,0,,0,0,27.7,16.3,216.7,1013.6,0.3,18.4,278.4,24.2,7,,2021-07-10T06:53:47,2021-07-10T21:46:19,0,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-11,38.9,22.6,30.1,36.5,22.6,28.9,8.5,27.7,0,0,0,,0,0,52.6,33.3,252,1010.1,39.1,14.6,210.7,18.2,6,,2021-07-11T06:54:29,2021-07-11T21:45:52,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-12,30.5,20,24.2,29.1,20,24,6.6,33.4,0,0,0,,0,0,47.2,29.9,289.8,1011.4,17.1,17.7,278.5,24.2,7,,2021-07-12T06:55:12,2021-07-12T21:45:23,0.03,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
