datetime,avg(temp),avg(humidity)
2020-01,10.364516129032257,74.02903225806452
2020-02,14.06896551724138,69.04827586206896
2020-03,13.954838709677416,68.61935483870968
2020-04,15.963333333333335,74.41666666666667
2020-05,20.78064516129032,64.58064516129033
2020-06,22.953333333333333,65.03666666666668
2020-07,26.119354838709683,67.57419354838709
2020-08,26.745161290322585,64.5774193548387
2020-09,23.47666666666667,60.026666666666664
2020-10,18.680645161290325,56.64838709677421
2020-11,15.20666666666667,75.17333333333336
2020-12,12.096774193548388,55.193548387096776
2021-01,10.745161290322581,56.9774193548387
2021-02,13.924999999999997,66.33928571428572
2021-03,12.812903225806451,68.37419354838711
2021-04,14.446666666666667,69.48000000000002
2021-05,19.251612903225805,60.993548387096766
2021-06,23.096666666666668,62.4
2021-07,25.454838709677418,64.74516129032259
2021-08,26.13225806451613,65.71290322580644
2021-09,23.77,69.1
2021-10,19.664516129032258,68.31935483870969
2021-11,13.886666666666668,56.65666666666666
2021-12,13.564516129032258,60.738709677419365
2022-01,10.122580645161293,60.90645161290322
2022-02,12.528571428571428,62.81071428571427
2022-03,12.725806451612906,75.10645161290324
2022-04,14.813333333333338,63.39
2022-05,19.916129032258063,64.85483870967741
2022-06,25.259999999999998,60.600000000000016
2022-07,27.48709677419355,58.88709677419355
2022-08,27.99032258064515,59.13870967741937
2022-09,24.28666666666667,63.886666666666656
2022-10,20.3,76.03548387096775
2022-11,16.12333333333333,63.933333333333344
2022-12,13.361290322580643,73.44516129032257
2023-01,9.7,71.9
