name,datetime,temp,humidity,windspeed
valencia,2020-04-30,21.8,45.0,32.5
valencia,2020-05-01,23.7,45.1,30.7
valencia,2020-05-02,25.1,47.7,24.2
valencia,2020-05-03,21.9,57.8,16.3
valencia,2020-05-04,19.3,79.2,15.5
valencia,2020-05-05,20.4,73.4,17.0
valencia,2020-05-06,20.6,71.4,15.2
valencia,2020-05-07,20.5,69.3,15.8
valencia,2020-05-08,19.5,72.0,15.2
valencia,2020-05-09,19.7,79.1,15.7
valencia,2020-05-10,20.3,62.7,35.3
valencia,2020-05-11,21.3,48.2,29.1
valencia,2020-05-12,19.5,67.0,26.2
valencia,2020-05-13,19.4,58.4,23.6
valencia,2020-05-14,17.1,73.8,19.0
valencia,2020-05-15,16.7,74.9,12.6
valencia,2020-05-16,17.8,77.8,15.7
valencia,2020-05-17,18.9,68.5,12.3
valencia,2020-05-18,19.7,69.0,22.1
valencia,2020-05-19,21.6,60.3,17.0
valencia,2020-05-20,22.1,60.8,17.2
valencia,2020-05-21,22.3,58.8,19.4
valencia,2020-05-22,23.0,59.7,18.0
valencia,2020-05-23,22.5,60.1,17.0
valencia,2020-05-24,21.9,72.4,17.6
valencia,2020-05-25,20.7,67.7,9.8
valencia,2020-05-26,21.4,67.4,18.6
valencia,2020-05-27,21.7,63.4,25.5
valencia,2020-05-28,21.3,65.3,13.4
valencia,2020-05-29,21.7,54.5,23.4
valencia,2020-05-30,21.3,57.2,21.5
valencia,2020-05-31,21.3,59.1,21.0
valencia,2020-06-01,22.3,63.2,20.5
valencia,2020-06-02,22.0,64.1,17.9
valencia,2020-06-03,23.1,67.0,27.1
valencia,2020-06-04,21.4,67.2,23.9
valencia,2020-06-05,21.2,55.2,23.6
valencia,2020-06-06,23.3,59.0,29.3
valencia,2020-06-07,22.7,70.5,31.3
valencia,2020-06-08,17.9,84.8,19.9
valencia,2020-06-09,19.6,68.9,22.0
valencia,2020-06-10,20.1,68.3,22.4
valencia,2020-06-11,24.4,52.3,25.9
valencia,2020-06-12,24.4,32.4,28.3
valencia,2020-06-13,23.7,36.5,25.4
valencia,2020-06-14,22.3,53.1,21.4
valencia,2020-06-15,22.1,65.0,22.3
valencia,2020-06-16,21.8,71.3,30.8
valencia,2020-06-17,21.6,72.5,25.5
valencia,2020-06-18,22.3,70.3,19.0
valencia,2020-06-19,22.6,76.8,18.0
valencia,2020-06-20,23.3,75.4,19.4
valencia,2020-06-21,23.4,77.4,14.3
valencia,2020-06-22,24.7,65.2,20.2
valencia,2020-06-23,24.4,67.9,24.9
valencia,2020-06-24,23.9,64.9,16.3
valencia,2020-06-25,24.8,57.8,19.8
valencia,2020-06-26,25.0,58.6,18.5
valencia,2020-06-27,25.1,64.2,21.3
valencia,2020-06-28,24.6,74.2,18.0
valencia,2020-06-29,25.1,74.2,19.3
valencia,2020-06-30,25.5,72.9,17.8
valencia,2020-07-01,26.1,71.2,20.7
valencia,2020-07-02,26.6,73.3,20.7
valencia,2020-07-03,25.7,69.8,20.1
valencia,2020-07-04,25.7,75.1,18.3
valencia,2020-07-05,25.8,68.0,19.6
valencia,2020-07-06,26.6,53.6,19.0
valencia,2020-07-07,26.1,65.4,26.1
valencia,2020-07-08,25.9,70.1,16.6
valencia,2020-07-09,26.3,68.0,16.4
valencia,2020-07-10,26.1,64.6,19.3
valencia,2020-07-11,25.8,72.7,19.8
valencia,2020-07-12,24.9,77.9,12.4
valencia,2020-07-13,25.0,74.6,15.7
valencia,2020-07-14,24.6,76.8,18.5
valencia,2020-07-15,24.0,72.1,17.3
valencia,2020-07-16,25.6,67.3,18.2
valencia,2020-07-17,25.2,72.8,17.7
valencia,2020-07-18,25.5,72.6,19.1
valencia,2020-07-19,26.3,70.9,18.9
valencia,2020-07-20,26.3,73.8,19.3
valencia,2020-07-21,25.7,72.2,17.6
valencia,2020-07-22,25.8,61.3,20.4
valencia,2020-07-23,26.7,48.2,22.4
valencia,2020-07-24,26.0,57.7,18.3
valencia,2020-07-25,26.6,59.3,15.0
valencia,2020-07-26,26.5,67.3,16.5
valencia,2020-07-27,27.6,60.3,18.2
valencia,2020-07-28,27.7,58.8,21.6
valencia,2020-07-29,27.2,69.6,21.4
valencia,2020-07-30,27.5,66.8,15.9
valencia,2020-07-31,28.3,62.7,17.4
valencia,2020-08-01,28.2,71.2,19.3
valencia,2020-08-02,27.8,71.6,18.3
valencia,2020-08-03,27.1,66.3,16.3
valencia,2020-08-04,26.3,67.0,17.4
valencia,2020-08-05,26.8,73.0,20.8
valencia,2020-08-06,26.8,66.5,20.2
valencia,2020-08-07,26.8,60.5,16.8
valencia,2020-08-08,27.2,57.0,20.7
valencia,2020-08-09,27.8,62.1,18.1
valencia,2020-08-10,27.2,61.1,20.7
valencia,2020-08-11,27.2,67.3,23.3
valencia,2020-08-12,27.4,57.5,25.1
valencia,2020-08-13,27.5,62.5,21.1
valencia,2020-08-14,27.0,69.8,18.1
valencia,2020-08-15,27.1,67.1,13.8
valencia,2020-08-16,26.9,48.8,19.8
valencia,2020-08-17,26.2,57.2,21.1
valencia,2020-08-18,26.4,62.1,20.4
valencia,2020-08-19,27.2,60.2,19.1
valencia,2020-08-20,27.1,57.9,19.9
valencia,2020-08-21,27.5,69.8,16.5
valencia,2020-08-22,27.5,72.9,19.6
valencia,2020-08-23,27.3,71.0,23.0
valencia,2020-08-24,27.2,75.1,19.0
valencia,2020-08-25,27.7,71.5,18.9
valencia,2020-08-26,27.0,75.6,16.3
valencia,2020-08-27,27.0,70.7,17.9
valencia,2020-08-28,27.2,74.6,17.1
valencia,2020-08-29,24.5,59.8,22.8
valencia,2020-08-30,21.7,46.1,19.7
valencia,2020-08-31,22.5,48.1,23.4
valencia,2020-09-01,23.0,62.1,11.3
valencia,2020-09-02,24.3,63.4,16.5
