datetime,avg(temp),avg(humidity)
2020-01,6.319354838709676,68.61612903225806
2020-02,10.141379310344826,63.693103448275856
2020-03,10.590322580645163,61.58709677419354
2020-04,13.313333333333334,64.73666666666666
2020-05,19.280645161290323,51.319354838709685
2020-06,22.290000000000003,41.176666666666655
2020-07,28.04838709677419,33.73225806451613
2020-08,25.203225806451616,38.86774193548386
2020-09,20.51333333333333,49.696666666666665
2020-10,13.477419354838709,64.36129032258063
2020-11,10.83333333333333,81.87000000000002
2020-12,7.016129032258066,77.92903225806451
2021-01,4.009677419354838,80.04838709677418
2021-02,9.849999999999998,74.30714285714285
2021-03,10.916129032258066,54.8032258064516
2021-04,12.793333333333333,64.30666666666667
2021-05,17.954838709677418,50.81935483870968
2021-06,22.253333333333334,49.756666666666675
2021-07,25.82903225806452,36.15806451612903
2021-08,26.64193548387097,36.74516129032259
2021-09,20.279999999999998,60.50333333333334
2021-10,16.022580645161288,60.112903225806456
2021-11,8.696666666666665,68.02999999999999
2021-12,8.680645161290323,77.41612903225804
2022-01,6.625806451612903,62.31935483870968
2022-02,9.782142857142857,57.62499999999999
2022-03,9.90645161290323,71.85806451612903
2022-04,11.896666666666667,63.11000000000001
2022-05,19.916129032258066,47.82258064516129
2022-06,24.380000000000003,36.499999999999986
2022-07,29.235483870967744,28.845161290322583
2022-08,27.45806451612903,35.00322580645162
2022-09,20.956666666666663,50.273333333333326
2022-10,17.848387096774193,62.3
2022-11,11.120000000000001,78.08
2022-12,8.961290322580645,88.68064516129033
2023-01,9.5,63.3
