datetime,windAverage,windVectorAvg
2020-01,14.829032258064515,3.8508482517575935
2020-02,12.700000000000003,3.5637059362410928
2020-03,18.99032258064517,4.357788726022083
2020-04,15.763333333333332,3.970306453327417
2020-05,15.722580645161294,3.9651709477853907
2020-06,19.539999999999996,4.420407221060068
2020-07,17.83870967741936,4.223589667264016
2020-08,16.441935483870967,4.054865655465168
2020-09,17.28666666666667,4.157723736212721
2020-10,18.038709677419355,4.247200216309487
2020-11,11.153333333333332,3.3396606614045883
2020-12,21.283870967741937,4.613444588129561
2021-01,18.609677419354842,4.313893533613786
2021-02,19.54285714285714,4.420730385678043
2021-03,15.880645161290321,3.9850527175045403
2021-04,15.819999999999999,3.9774363602702683
2021-05,18.59032258064516,4.311649635655147
2021-06,20.05666666666667,4.478466999617913
2021-07,20.53548387096774,4.531609412887185
2021-08,18.412903225806453,4.291025894329519
2021-09,16.34333333333333,4.042688874169435
2021-10,13.603225806451608,3.688255116779696
2021-11,16.396666666666665,4.049279771350291
2021-12,17.419354838709676,4.173650061841514
2022-01,12.177419354838712,3.489615932282335
2022-02,13.357142857142856,3.6547425158474374
2022-03,17.700000000000003,4.207136793592526
2022-04,20.583333333333336,4.536885862938734
2022-05,17.57741935483871,4.192543303871614
2022-06,20.65333333333333,4.544593857907803
2022-07,18.10322580645161,4.2547885736487085
2022-08,18.838709677419356,4.340358242981719
2022-09,19.6,4.427188724235731
2022-10,14.967741935483868,3.868816606597406
2022-11,19.726666666666674,4.441471227720233
2022-12,15.748387096774193,3.968423754688276
2023-01,9.7,3.1144823004794873
