name,datetime,temp,humidity,windspeed
madrid,2020-04-30,14.3,63.2,24.4
madrid,2020-05-01,15.6,67.8,25.1
madrid,2020-05-02,18.2,61.6,19.7
madrid,2020-05-03,20.3,51.9,9.3
madrid,2020-05-04,21.9,46.5,27.7
madrid,2020-05-05,18.5,41.1,16.3
madrid,2020-05-06,17.4,38.4,6.5
madrid,2020-05-07,20.3,42.3,19.5
madrid,2020-05-08,20.8,44.1,14.0
madrid,2020-05-09,18.5,53.2,27.3
madrid,2020-05-10,14.4,61.2,28.9
madrid,2020-05-11,14.6,62.4,24.5
madrid,2020-05-12,12.6,81.1,13.8
madrid,2020-05-13,13.4,69.2,15.5
madrid,2020-05-14,12.2,72.4,12.3
madrid,2020-05-15,12.8,75.1,9.3
madrid,2020-05-16,14.4,66.2,18.5
madrid,2020-05-17,16.0,48.2,13.8
madrid,2020-05-18,19.1,44.3,12.3
madrid,2020-05-19,21.2,39.7,12.9
madrid,2020-05-20,22.5,38.2,12.3
madrid,2020-05-21,23.0,36.0,11.3
madrid,2020-05-22,23.8,42.6,13.1
madrid,2020-05-23,25.0,41.2,10.4
madrid,2020-05-24,23.4,46.1,18.6
madrid,2020-05-25,22.5,54.0,19.1
madrid,2020-05-26,20.5,60.4,15.0
madrid,2020-05-27,23.0,44.7,13.7
madrid,2020-05-28,22.6,37.3,10.5
madrid,2020-05-29,23.2,38.5,9.0
madrid,2020-05-30,24.2,37.0,11.3
madrid,2020-05-31,21.8,48.2,15.9
madrid,2020-06-01,21.1,56.3,11.0
madrid,2020-06-02,22.8,43.6,11.4
madrid,2020-06-03,21.9,45.6,28.9
madrid,2020-06-04,18.7,55.0,28.7
madrid,2020-06-05,19.6,42.3,14.0
madrid,2020-06-06,21.5,41.3,24.6
madrid,2020-06-07,19.1,48.9,21.4
madrid,2020-06-08,16.3,44.6,18.7
madrid,2020-06-09,16.8,42.1,18.5
madrid,2020-06-10,18.7,38.8,16.9
madrid,2020-06-11,19.3,42.7,34.9
madrid,2020-06-12,15.3,49.3,30.8
madrid,2020-06-13,16.1,54.7,19.0
madrid,2020-06-14,19.2,40.9,17.1
madrid,2020-06-15,20.8,40.1,23.4
madrid,2020-06-16,20.2,42.9,23.3
madrid,2020-06-17,20.0,41.4,16.7
madrid,2020-06-18,22.2,38.6,19.9
madrid,2020-06-19,23.0,44.1,18.0
madrid,2020-06-20,24.7,30.5,18.4
madrid,2020-06-21,26.2,30.4,13.2
madrid,2020-06-22,26.8,34.7,14.1
madrid,2020-06-23,28.4,32.0,10.6
madrid,2020-06-24,27.1,36.3,17.4
madrid,2020-06-25,27.4,36.6,21.8
madrid,2020-06-26,25.6,37.6,25.6
madrid,2020-06-27,25.0,36.7,14.4
madrid,2020-06-28,27.0,38.1,13.8
madrid,2020-06-29,28.4,33.6,17.8
madrid,2020-06-30,29.5,35.6,21.9
madrid,2020-07-01,28.4,32.7,24.7
madrid,2020-07-02,26.9,33.8,26.0
madrid,2020-07-03,24.3,39.3,16.4
madrid,2020-07-04,26.5,28.5,9.7
madrid,2020-07-05,28.1,28.5,11.6
madrid,2020-07-06,29.7,33.6,15.6
madrid,2020-07-07,29.9,29.1,22.8
madrid,2020-07-08,29.4,29.0,35.7
madrid,2020-07-09,26.4,38.3,25.8
madrid,2020-07-10,25.7,41.6,12.8
madrid,2020-07-11,28.7,38.5,21.4
madrid,2020-07-12,26.8,47.0,20.7
madrid,2020-07-13,26.8,41.4,13.3
madrid,2020-07-14,26.2,34.7,19.1
madrid,2020-07-15,25.2,37.8,11.1
madrid,2020-07-16,26.3,35.6,17.6
madrid,2020-07-17,27.7,29.5,16.9
madrid,2020-07-18,27.1,30.7,16.1
madrid,2020-07-19,28.9,28.5,17.7
madrid,2020-07-20,28.5,28.7,17.7
madrid,2020-07-21,28.8,37.3,16.6
madrid,2020-07-22,25.9,44.6,11.9
madrid,2020-07-23,27.9,34.5,11.8
madrid,2020-07-24,29.1,32.3,15.2
madrid,2020-07-25,28.5,32.1,19.0
madrid,2020-07-26,29.8,25.8,17.2
madrid,2020-07-27,31.0,27.2,16.7
madrid,2020-07-28,29.9,32.0,12.1
madrid,2020-07-29,30.2,32.5,13.5
madrid,2020-07-30,31.0,32.2,26.2
madrid,2020-07-31,29.9,28.4,20.1
madrid,2020-08-01,29.7,22.8,20.7
madrid,2020-08-02,28.1,33.8,19.1
madrid,2020-08-03,25.2,36.4,14.2
madrid,2020-08-04,25.0,38.1,14.1
madrid,2020-08-05,27.5,33.2,14.9
madrid,2020-08-06,29.5,35.3,11.9
madrid,2020-08-07,30.7,32.1,13.6
madrid,2020-08-08,29.3,31.4,11.1
madrid,2020-08-09,30.6,28.6,18.4
madrid,2020-08-10,27.2,37.1,18.8
madrid,2020-08-11,20.6,73.3,14.0
madrid,2020-08-12,20.3,69.2,17.2
madrid,2020-08-13,23.0,52.1,11.7
madrid,2020-08-14,25.0,43.9,13.7
madrid,2020-08-15,23.3,33.3,25.7
madrid,2020-08-16,21.8,39.4,16.0
madrid,2020-08-17,22.1,45.7,20.1
madrid,2020-08-18,24.2,49.8,12.1
madrid,2020-08-19,25.4,41.7,20.9
madrid,2020-08-20,25.3,25.2,18.0
madrid,2020-08-21,25.7,47.1,22.3
madrid,2020-08-22,25.7,41.8,13.7
madrid,2020-08-23,25.9,29.9,14.3
madrid,2020-08-24,25.9,38.0,16.5
madrid,2020-08-25,27.9,33.4,13.7
madrid,2020-08-26,27.6,29.2,13.1
madrid,2020-08-27,28.3,28.7,13.0
madrid,2020-08-28,26.3,33.1,20.8
madrid,2020-08-29,19.1,40.7,23.0
madrid,2020-08-30,17.1,41.0,18.7
madrid,2020-08-31,18.0,39.6,14.4
madrid,2020-09-01,19.9,32.5,8.2
madrid,2020-09-02,21.6,35.4,18.6
madrid,2020-09-03,23.3,33.7,13.3
madrid,2020-09-04,24.4,36.9,9.3
madrid,2020-09-05,24.4,38.8,8.2
madrid,2020-09-06,25.6,34.2,12.9
madrid,2020-09-07,20.7,38.6,18.3
madrid,2020-09-08,18.9,41.6,19.4
madrid,2020-09-09,21.2,37.3,9.3
madrid,2020-09-10,23.2,40.0,16.5
madrid,2020-09-11,24.2,34.8,14.0
madrid,2020-09-12,24.9,35.1,15.8
madrid,2020-09-13,25.3,36.5,14.9
madrid,2020-09-14,24.4,43.3,15.8
madrid,2020-09-15,22.8,58.9,13.0
madrid,2020-09-16,23.8,48.4,23.5
madrid,2020-09-17,21.2,70.8,22.6
madrid,2020-09-18,17.6,84.6,20.0
madrid,2020-09-19,16.8,81.3,25.8
